p_swp,H2_swp,H2_dec,H2_mtc
0,Inf,Inf,NaN
0.025,4.59939870192458,5.55569278943367,NaN
0.05,3.35736690594848,4.090198914011,3.39889224043255
0.075,2.82682237254577,3.46748606211525,2.84821660157045
0.1,2.52192678154111,3.11102096256958,2.54581722984653
0.125,2.32147561039691,2.8773374738389,2.31346525017971
0.15,2.1790562063498,2.71160590736436,2.18399548551198
0.175,2.07263367990586,2.5878391153737,2.0703885801626
0.2,1.99026189850496,2.49197027133895,1.99360426722385
0.225,1.9248484423701,2.41566050500345,1.90353289171448
0.25,1.87189423224723,2.35362818740951,1.87404810332433
0.275,1.82839803981434,2.30235574505109,1.81764013793094
0.3,1.7922774607902,2.25940713107807,1.78766118732884
0.325,1.76204180353902,2.2230428270738,1.7580078550797
0.35,1.73659703753,2.19199115134724,1.73891321496701
0.375,1.7151242602452,2.16530710552302,1.71502531685598
0.4,1.69700133685343,2.14228323337695,1.69004040413046
0.425,1.68175085025635,2.12239369188202,1.67142790663136
0.45,1.66900478299101,2.10526175461809,1.65982577615719
0.475,1.65848028492868,2.09064675756938,1.65740923976914
0.5,1.64996294110709,2.07845069582873,1.65526955424756
0.525,1.64329549489507,2.06874717505737,1.64682385479202
0.55,1.63837073010904,2.06183142322711,1.64294857879711
0.575,1.63512778982371,2.05826518643481,1.64358491894719
0.6,1.63355173564399,2.05883454219994,1.63869946724957
0.625,1.63367654670806,2.06433958690347,1.63261712200405
0.65,1.63559236269188,2.0753718461386,1.64405706930421
0.675,1.63945853117394,2.09239915827357,1.63628675982432
0.7,1.64552540846228,2.11609674427087,1.65233580225399
0.725,1.65417036274331,2.14765111797784,1.65948589916932
0.75,1.66595797859686,2.18903355237578,1.67842892199184
0.775,1.68174498549498,2.24342066220969,1.68198353516197
0.8,1.70287287997304,2.31602265494596,1.69000747973151
0.825,1.73154864848127,2.41587113461319,1.72113659349219
0.85,1.77167530449134,2.56014659796203,1.75931123424494
0.875,1.83092950405114,2.78636836777302,1.80494744550939
0.9,1.92712356291384,3.19207281783441,1.9238891303466
0.925,2.115448706096,4.10007653541558,2.13139072765129
0.95,2.7331670790441,8.48171655959029,2.72830014970157
0.975,Inf,Inf,NaN
1,Inf,Inf,NaN
